Timestamp;YEAR;FRUITS_VEGGIES;DAILY_STRESS;PLACES_VISITED;CORE_CIRCLE;SUPPORTING_OTHERS;SOCIAL_NETWORK;ACHIEVEMENT;DONATION;BMI_RANGE;TODO_COMPLETED;FLOW;DAILY_STEPS;LIVE_VISION;SLEEP_HOURS;LOST_VACATION;DAILY_SHOUTING;SUFFICIENT_INCOME;PERSONAL_AWARDS;TIME_FOR_PASSION;WEEKLY_MEDITATION;AGE;GENDER;WORK_LIFE_BALANCE_SCORE
01/01/2016;2016;5;4;10;3;2;2;1;3;1;3;1;3;1;9;0;7;2;4;5;1;21 to 35;Female;641.8
01/01/2016;2016;3;3;1;10;0;4;4;1;2;3;2;10;1;10;1;5;1;5;1;10;Less than 20;Female;628.1
01/01/2016;2016;2;4;5;10;10;10;2;1;2;7;1;3;0;6;0;4;1;10;6;7;36 to 50;Female;649.7
01/01/2016;2016;3;4;10;7;2;10;1;3;2;2;3;6;2;8;10;3;2;3;1;7;21 to 35;Male;637.1
01/01/2016;2016;0;4;5;3;0;4;3;0;2;0;2;2;0;8;10;9;1;6;1;3;21 to 35;Male;546.2
01/01/2016;2016;5;1;6;5;3;4;1;5;2;7;3;5;0;8;0;2;2;4;1;6;36 to 50;Male;664.1
01/02/2016;2016;3;3;6;7;6;6;2;5;1;8;3;5;5;8;7;6;2;4;2;6;Less than 20;Female;674.3
01/02/2016;2016;2;4;5;5;3;4;1;4;1;10;10;10;0;6;10;1;1;3;2;4;36 to 50;Female;642.6
01/02/2016;2016;2;2;10;10;10;10;3;5;1;6;1;5;1;8;2;0;2;10;2;7;21 to 35;Male;718.5
01/02/2016;2016;3;4;10;7;2;10;1;3;2;2;3;6;2;8;10;3;2;3;1;7;21 to 35;Male;637.1
01/02/2016;2016;2;3;10;9;10;10;8;5;1;8;4;10;10;6;1;2;2;9;9;7;51 or more;Male;759.9
01/02/2016;2016;2;1;10;7;10;4;6;1;1;8;2;5;2;7;0;1;2;10;1;7;51 or more;Female;703
01/02/2016;2016;1;1;7;10;10;5;2;2;1;9;1;2;2;6;10;2;2;1;1;10;36 to 50;Female;661.4
01/03/2016;2016;4;4;4;8;10;10;7;5;2;5;2;6;5;6;6;0;2;10;8;5;51 or more;Female;699.6
01/03/2016;2016;4;4;10;5;3;6;4;1;1;9;1;10;2;9;0;1;1;10;5;7;51 or more;Female;687.4
01/03/2016;2016;0;5;2;2;0;1;0;0;1;1;1;1;0;9;0;8;1;1;0;10;21 to 35;Female;563.2
01/03/2016;2016;5;4;1;3;2;1;1;2;1;7;1;10;0;8;10;0;2;5;2;10;51 or more;Female;644.7
01/03/2016;2016;5;0;10;4;6;5;6;5;2;8;2;10;0;6;0;2;1;8;2;10;51 or more;Female;691.9
01/03/2016;2016;5;0;10;4;6;5;6;5;2;8;2;10;0;6;0;2;1;8;2;10;51 or more;Female;691.9
01/03/2016;2016;5;4;6;10;10;10;4;5;2;5;6;4;10;6;0;1;2;6;8;4;51 or more;Female;716.2
01/03/2016;2016;2;1;2;7;5;5;2;2;1;8;4;4;5;8;0;3;2;10;4;5;36 to 50;Male;686
01/03/2016;2016;4;1;4;2;5;10;2;1;1;5;5;7;3;7;3;1;2;4;1;7;21 to 35;Male;676.2
01/03/2016;2016;1;5;3;2;10;2;3;5;1;7;1;4;0;5;5;10;2;10;2;1;36 to 50;Female;625.9
01/04/2016;2016;2;2;2;1;1;2;2;0;2;2;0;4;2;4;0;0;1;2;0;1;21 to 35;Male;567.9
01/04/2016;2016;2;2;1;1;0;2;1;0;2;2;0;6;2;5;0;1;1;2;0;2;21 to 35;Male;568.5
01/04/2016;2016;1;5;10;10;6;7;4;3;2;3;1;6;1;6;0;5;2;10;1;7;36 to 50;Male;657.1
01/04/2016;2016;4;2;10;5;10;10;4;1;2;7;2;6;2;8;10;0;2;7;6;7;21 to 35;Male;683
01/04/2016;2016;2;3;1;4;1;10;3;0;1;4;1;8;5;7;5;4;2;3;2;5;36 to 50;Male;637.3
01/04/2016;2016;0;5;3;1;10;10;1;1;2;3;2;3;2;5;0;4;1;10;4;7;36 to 50;Male;612.1
01/04/2016;2016;4;4;3;10;4;7;2;5;2;3;1;8;10;8;7;1;2;10;1;10;36 to 50;Female;681.7
01/04/2016;2016;2;1;1;3;7;10;5;5;1;5;2;6;5;8;2;4;2;6;8;3;36 to 50;Female;691.5
01/05/2016;2016;2;2;10;3;10;10;2;2;2;6;3;6;0;7;0;1;2;4;6;7;21 to 35;Female;677.7
01/05/2016;2016;4;3;4;5;8;5;10;5;2;4;2;10;3;6;0;0;1;8;3;10;51 or more;Female;683.4
01/05/2016;2016;2;2;4;7;5;10;3;3;1;8;3;4;5;7;8;3;2;6;1;5;21 to 35;Female;670.5
01/05/2016;2016;2;5;1;4;2;10;3;2;2;3;4;2;5;6;3;7;1;7;4;3;21 to 35;Male;600.2
01/05/2016;2016;3;4;0;2;0;10;10;2;2;0;0;2;10;8;10;5;1;3;0;10;21 to 35;Male;600.6
01/05/2016;2016;1;4;3;8;7;10;3;5;2;5;5;5;0;6;10;3;1;5;1;3;21 to 35;Male;617.8
01/05/2016;2016;5;2;8;2;6;4;3;1;2;1;1;3;1;9;2;2;1;3;1;3;21 to 35;Female;612.9
01/05/2016;2016;5;3;10;8;10;6;5;5;1;8;8;10;5;7;0;0;2;5;8;10;21 to 35;Female;758.4
01/05/2016;2016;3;3;1;4;2;6;6;4;1;7;1;2;0;8;0;3;1;4;1;8;Less than 20;Female;639.7
01/05/2016;2016;1;2;1;3;4;8;3;2;1;7;4;3;2;7;2;4;2;9;1;4;21 to 35;Male;651.6
01/05/2016;2016;3;1;4;5;4;5;5;0;2;7;5;8;10;8;0;2;2;5;6;7;36 to 50;Male;685.1
01/06/2016;2016;2;1;5;8;1;5;1;1;1;4;2;2;2;6;10;0;2;2;2;6;21 to 35;Male;630.8
01/06/2016;2016;3;3;3;5;8;10;8;3;2;8;7;1;10;7;0;3;2;10;6;3;36 to 50;Female;697.1
01/06/2016;2016;3;1;6;10;10;10;4;5;1;10;3;2;10;7;8;3;2;10;2;1;36 to 50;Male;712.6
01/06/2016;2016;5;1;5;5;3;10;2;1;2;5;1;9;10;7;0;1;2;10;0;10;21 to 35;Female;693.6
01/06/2016;2016;1;1;10;10;10;4;5;4;1;5;1;5;5;6;10;1;1;8;1;1;21 to 35;Male;662
01/06/2016;2016;4;4;3;3;0;10;2;3;1;8;2;4;3;6;9;1;1;4;4;2;21 to 35;Male;626.1
01/06/2016;2016;1;1;4;1;2;9;0;1;1;0;0;10;0;6;10;0;2;8;0;6;21 to 35;Male;629
01/06/2016;2016;4;4;2;10;10;3;1;5;2;8;1;4;5;6;0;7;2;6;0;4;21 to 35;Female;653.3
01/06/2016;2016;2;3;8;3;5;3;2;0;2;5;1;8;1;7;0;8;1;3;0;10;21 to 35;Male;608.4
01/06/2016;2016;2;4;9;4;0;7;0;0;1;8;1;7;3;5;4;10;2;10;0;7;Less than 20;Female;636.7
01/06/2016;2016;0;4;2;4;7;10;0;2;2;8;3;10;10;4;0;6;2;10;0;7;Less than 20;Male;657.5
01/06/2016;2016;5;5;1;7;7;10;6;2;1;7;8;8;5;7;5;6;2;10;7;5;36 to 50;Female;701.9
01/07/2016;2016;5;5;8;8;10;10;5;2;2;8;6;6;2;7;2;3;1;10;10;5;36 to 50;Male;689.6
01/07/2016;2016;5;5;8;8;10;10;5;2;2;8;6;6;2;7;2;3;1;10;10;5;36 to 50;Male;689.6
01/07/2016;2016;1;4;5;4;4;4;3;3;2;2;3;2;2;8;5;4;1;10;1;4;36 to 50;Male;602.3
01/07/2016;2016;3;1;4;10;5;10;7;4;2;9;1;4;1;7;0;1;2;10;2;7;51 or more;Male;696
01/07/2016;2016;1;2;2;7;0;10;5;1;1;1;3;8;1;6;0;2;2;5;0;4;21 to 35;Male;649
01/07/2016;2016;4;2;10;10;4;10;4;5;1;8;8;10;5;7;0;0;2;8;4;10;21 to 35;Male;755
01/07/2016;2016;5;1;10;8;10;5;3;5;1;10;4;10;0;8;0;2;2;8;4;10;51 or more;Female;745
01/08/2016;2016;4;4;3;3;3;10;2;1;2;3;2;4;3;6;1;4;1;3;1;2;21 to 35;Female;600.6
01/08/2016;2016;5;0;10;0;10;10;10;5;2;10;3;1;0;7;0;0;2;10;2;10;51 or more;Male;720.9
01/08/2016;2016;1;0;5;10;10;10;10;5;1;9;6;5;10;5;10;0;2;10;10;5;36 to 50;Male;745.1
01/08/2016;2016;2;0;6;10;10;10;10;5;1;10;7;5;10;5;10;0;2;10;10;5;36 to 50;Male;753.6
